time,x,y,z
1.75689e+09,-1.59293,-1.32296,0
1.75689e+09,-1.61467,-1.32596,0
1.75689e+09,-1.62416,-1.31397,0
1.75689e+09,-1.58354,-1.28954,0
1.75689e+09,-1.60326,-1.23583,0
1.75689e+09,-1.64609,-1.26959,0
1.75689e+09,-1.60645,-1.24826,0
1.75689e+09,-1.6334,-1.24126,0
1.75689e+09,-1.62484,-1.23637,0
1.75689e+09,-1.60713,-1.20144,0
1.75689e+09,-1.59652,-1.18409,0
1.75689e+09,-1.57392,-1.13895,0
1.75689e+09,-1.59788,-1.14005,0
1.75689e+09,-1.5385,-1.11323,0
1.75689e+09,-1.54322,-1.11939,0
1.75689e+09,-1.49757,-1.06408,0
1.75689e+09,-1.48465,-1.07166,0
1.75689e+09,-1.46924,-1.06768,0
1.75689e+09,-1.42458,-1.04284,0
1.75689e+09,-1.46838,-1.05788,0
1.75689e+09,-1.36262,-1.03064,0
1.75689e+09,-1.34147,-1.02655,0
1.75689e+09,-1.30911,-1.0275,0
1.75689e+09,-1.27442,-1.03089,0
1.75689e+09,-1.21614,-1.02601,0
1.75689e+09,-1.21952,-1.04994,0
1.75689e+09,-1.15375,-1.03185,0
1.75689e+09,-1.13793,-1.04754,0
1.75689e+09,-1.08256,-1.04967,0
1.75689e+09,-1.04287,-1.04245,0
1.75689e+09,-1.00063,-1.05149,0
1.75689e+09,-0.953557,-1.08355,0
1.75689e+09,-0.945618,-1.09322,0
1.75689e+09,-0.923563,-1.11778,0
1.75689e+09,-0.831922,-1.10865,0
1.75689e+09,-0.836112,-1.14312,0
1.75689e+09,-0.776989,-1.13886,0
1.75689e+09,-0.729099,-1.16578,0
1.75689e+09,-0.730396,-1.17067,0
1.75689e+09,-0.713832,-1.16944,0
1.75689e+09,-0.707043,-1.16583,0
1.75689e+09,-0.662322,-1.18007,0
1.75689e+09,-0.646624,-1.16682,0
1.75689e+09,-0.666048,-1.17527,0
1.75689e+09,-0.63255,-1.15378,0
1.75689e+09,-0.671016,-1.17101,0
1.75689e+09,-0.661479,-1.1849,0
1.75689e+09,-0.670653,-1.17766,0
1.75689e+09,-0.674866,-1.18328,0
1.75689e+09,-0.638385,-1.16331,0
1.75689e+09,-0.684159,-1.17681,0
1.75689e+09,-0.655399,-1.15045,0
1.75689e+09,-0.686007,-1.14583,0
1.75689e+09,-0.646234,-1.13217,0
1.75689e+09,-0.675353,-1.14597,0
1.75689e+09,-0.663832,-1.12322,0
1.75689e+09,-0.633186,-1.11742,0
1.75689e+09,-0.662089,-1.11274,0
1.75689e+09,-0.649713,-1.07395,0
1.75689e+09,-0.628099,-1.03821,0
1.75689e+09,-0.659735,-1.06613,0
1.75689e+09,-0.650047,-1.04362,0
1.75689e+09,-0.641059,-1.02566,0
1.75689e+09,-0.629612,-1.00025,0
1.75689e+09,-0.596475,-0.986344,0
1.75689e+09,-0.592485,-0.983776,0
1.75689e+09,-0.578485,-0.991391,0
1.75689e+09,-0.547768,-0.961901,0
1.75689e+09,-0.517663,-0.955085,0
1.75689e+09,-0.458007,-0.960357,0
1.75689e+09,-0.422925,-0.939755,0
